age,education,marital-status,occupation,relationship,race,sex
39,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male
50,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
38,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male
53,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
28,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female
37,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female
49,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female
52,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male
31,Masters,Never-married,Prof-specialty,Not-in-family,White,Female
42,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
37,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male
30,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male
23,Bachelors,Never-married,Adm-clerical,Own-child,White,Female
32,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male
40,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
34,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male
25,HS-grad,Never-married,Farming-fishing,Own-child,White,Male
32,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male
38,11th,Married-civ-spouse,Sales,Husband,White,Male
43,Masters,Divorced,Exec-managerial,Unmarried,White,Female
40,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male
54,HS-grad,Separated,Other-service,Unmarried,Black,Female
35,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male
43,11th,Married-civ-spouse,Transport-moving,Husband,White,Male
59,HS-grad,Divorced,Tech-support,Unmarried,White,Female
56,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male
19,HS-grad,Never-married,Craft-repair,Own-child,White,Male
54,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male
39,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male
